"Id","Age","Gen","Job","Edu","Duration","Man","NF_N1","NF_N2","Prob","Sol_Time","Scr","response","Adv","BR","HR","FAR","true_posterior"
296,38,2,10,4,118,"Probability",NA,NA,90,80.068,0,0.9,61.22302158,0.01,0.8,0.02,0.287769784172662
297,46,1,10,3,323,"Probability",NA,NA,2.8,173.828,0,0.03,25.97697842,0.01,0.8,0.02,0.287769784172662
298,31,2,10,4,127,"Probability",NA,NA,97,77.099,0,0.97,68.22302158,0.01,0.8,0.02,0.287769784172662
300,33,1,1,2,159,"Frequency",300,10000,NA,112.42,0,0.03,25.77697842,0.01,0.8,0.02,0.287769784172662
301,29,1,1,3,218,"Frequency",80,278,NA,176.724,1,0.29,0,0.01,0.8,0.02,0.287769784172662
302,49,2,1,2,144,"Probability",NA,NA,98,69.168,0,0.98,69.22302158,0.01,0.8,0.02,0.287769784172662
304,38,2,9,4,330,"Frequency",80,278,NA,243.152,1,0.29,0,0.01,0.8,0.02,0.287769784172662
305,32,2,10,3,127,"Frequency",100,10000,NA,60.635,0,0.01,27.77697842,0.01,0.8,0.02,0.287769784172662
306,36,1,7,3,291,"Probability",NA,NA,1,174.687,0,0.01,27.77697842,0.01,0.8,0.02,0.287769784172662
308,29,2,3,2,145,"Frequency",2,100,NA,38.966,0,0.02,26.77697842,0.01,0.8,0.02,0.287769784172662
313,63,1,10,2,185,"Probability",NA,NA,2,63.108,0,0.02,26.77697842,0.01,0.8,0.02,0.287769784172662
314,43,2,1,2,279,"Frequency",100,10000,NA,178.402,0,0.01,27.77697842,0.01,0.8,0.02,0.287769784172662
316,28,2,1,3,94,"Probability",NA,NA,90,42.457,0,0.9,61.22302158,0.01,0.8,0.02,0.287769784172662
317,39,1,10,4,163,"Frequency",1,1000,NA,102.245,0,0,28.67697842,0.01,0.8,0.02,0.287769784172662
319,49,2,10,2,283,"Probability",NA,NA,80,114.652,0,0.8,51.22302158,0.01,0.8,0.02,0.287769784172662
322,48,1,1,3,110,"Frequency",50,12000,NA,67.275,0,0,28.36031175,0.01,0.8,0.02,0.287769784172662
327,54,1,10,3,113,"Probability",NA,NA,2,61.469,0,0.02,26.77697842,0.01,0.8,0.02,0.287769784172662
329,24,2,9,3,210,"Probability",NA,NA,80,99.179,0,0.8,51.22302158,0.01,0.8,0.02,0.287769784172662
330,37,1,1,3,175,"Probability",NA,NA,1,122.233,0,0.01,27.77697842,0.01,0.8,0.02,0.287769784172662
331,45,1,3,2,173,"Frequency",170,1000,NA,114.98,0,0.17,11.77697842,0.01,0.8,0.02,0.287769784172662
332,26,2,3,3,140,"Frequency",80,10000,NA,92.359,0,0.01,27.97697842,0.01,0.8,0.02,0.287769784172662
333,37,1,1,3,256,"Probability",NA,NA,100,200.692,0,1,71.22302158,0.01,0.8,0.02,0.287769784172662
334,77,1,8,4,145,"Frequency",250,1000,NA,91.17,0,0.25,3.776978417,0.01,0.8,0.02,0.287769784172662
337,29,2,9,4,87,"Frequency",80,100,NA,37.803,0,0.8,51.22302158,0.01,0.8,0.02,0.287769784172662
338,37,1,1,3,159,"Frequency",79,100,NA,69.16,0,0.79,50.22302158,0.01,0.8,0.02,0.287769784172662
339,35,2,4,3,255,"Frequency",98,100,NA,204.731,0,0.98,69.22302158,0.01,0.8,0.02,0.287769784172662
340,55,2,10,3,332,"Frequency",100,10000,NA,216.912,0,0.01,27.77697842,0.01,0.8,0.02,0.287769784172662
341,40,1,1,3,132,"Probability",NA,NA,80,50.677,0,0.8,51.22302158,0.01,0.8,0.02,0.287769784172662
342,64,1,8,3,223,"Probability",NA,NA,77,128.141,0,0.77,48.22302158,0.01,0.8,0.02,0.287769784172662
344,69,1,8,2,336,"Probability",NA,NA,2,88.196,0,0.02,26.77697842,0.01,0.8,0.02,0.287769784172662
345,60,2,8,2,224,"Probability",NA,NA,1,156.567,0,0.01,27.77697842,0.01,0.8,0.02,0.287769784172662
347,67,1,8,1,227,"Frequency",80,100,NA,123.723,0,0.8,51.22302158,0.01,0.8,0.02,0.287769784172662
349,45,1,6,4,352,"Frequency",80,278,NA,273.973,1,0.29,0,0.01,0.8,0.02,0.287769784172662
350,36,2,1,2,149,"Probability",NA,NA,80,92.812,0,0.8,51.22302158,0.01,0.8,0.02,0.287769784172662
351,64,2,8,2,189,"Probability",NA,NA,1,117.042,0,0.01,27.77697842,0.01,0.8,0.02,0.287769784172662
