"subject","br","hr","far","true_posterior","response","presentation_format","format","condition","trial"
2,0.5,0.5,0.1,0.8333,0.45,"Symbolic","frequency","symbolic_natural",19
2,0.5,0.5,0.3,0.625,0.38,"Symbolic","frequency","symbolic_natural",20
2,0.5,0.5,0.5,0.5,0.5,"Symbolic","frequency","symbolic_natural",21
2,0.5,0.7,0.1,0.875,0.87,"Symbolic","frequency","symbolic_natural",22
2,0.5,0.7,0.3,0.7,0.54,"Symbolic","frequency","symbolic_natural",23
2,0.5,0.7,0.5,0.5833,0.47,"Symbolic","frequency","symbolic_natural",24
2,0.5,0.9,0.1,0.9,0.82,"Symbolic","frequency","symbolic_natural",25
2,0.5,0.9,0.3,0.75,0.69,"Symbolic","frequency","symbolic_natural",26
2,0.5,0.9,0.5,0.6429,0.6,"Symbolic","frequency","symbolic_natural",27
2,0.7,0.5,0.1,0.9211,0.47,"Symbolic","frequency","symbolic_natural",28
2,0.7,0.5,0.3,0.7955,0.55,"Symbolic","frequency","symbolic_natural",29
2,0.7,0.5,0.5,0.7,0.41,"Symbolic","frequency","symbolic_natural",30
2,0.7,0.7,0.1,0.9423,0.67,"Symbolic","frequency","symbolic_natural",31
2,0.7,0.7,0.3,0.8448,0.62,"Symbolic","frequency","symbolic_natural",32
2,0.7,0.7,0.5,0.7656,0.58,"Symbolic","frequency","symbolic_natural",33
2,0.7,0.9,0.1,0.9545,0.86,"Symbolic","frequency","symbolic_natural",34
2,0.7,0.9,0.3,0.875,0.8,"Symbolic","frequency","symbolic_natural",35
2,0.7,0.9,0.5,0.8077,0.74,"Symbolic","frequency","symbolic_natural",36
2,0.9,0.5,0.1,0.9783,0.49,"Symbolic","frequency","symbolic_natural",37
2,0.9,0.5,0.3,0.9375,0.93,"Symbolic","frequency","symbolic_natural",38
2,0.9,0.5,0.5,0.9,0.5,"Symbolic","frequency","symbolic_natural",39
2,0.9,0.7,0.1,0.9844,0.69,"Symbolic","frequency","symbolic_natural",40
2,0.9,0.7,0.3,0.9545,0.68,"Symbolic","frequency","symbolic_natural",41
2,0.9,0.7,0.5,0.9265,0.66,"Symbolic","frequency","symbolic_natural",42
2,0.9,0.9,0.1,0.9878,0.89,"Symbolic","frequency","symbolic_natural",43
2,0.9,0.9,0.3,0.9643,0.87,"Symbolic","frequency","symbolic_natural",44
2,0.9,0.9,0.5,0.9419,0.85,"Symbolic","frequency","symbolic_natural",45
3,0.1,0.5,0.1,0.3571,0.36,"Symbolic","frequency","symbolic_natural",1
3,0.1,0.5,0.3,0.1562,0.16,"Symbolic","frequency","symbolic_natural",2
3,0.1,0.5,0.5,0.1,0.11,"Symbolic","frequency","symbolic_natural",3
3,0.1,0.7,0.1,0.4375,0.44,"Symbolic","frequency","symbolic_natural",4
3,0.1,0.7,0.3,0.2059,0.1,"Symbolic","frequency","symbolic_natural",5
3,0.1,0.7,0.5,0.1346,0.13,"Symbolic","frequency","symbolic_natural",6
3,0.1,0.9,0.1,0.5,0.5,"Symbolic","frequency","symbolic_natural",7
3,0.1,0.9,0.3,0.25,0.25,"Symbolic","frequency","symbolic_natural",8
3,0.1,0.9,0.5,0.1667,0.17,"Symbolic","frequency","symbolic_natural",9
3,0.3,0.5,0.1,0.6818,0.46,"Symbolic","frequency","symbolic_natural",10
3,0.3,0.5,0.3,0.4167,0.42,"Symbolic","frequency","symbolic_natural",11
3,0.3,0.5,0.5,0.3,0.43,"Symbolic","frequency","symbolic_natural",12
3,0.3,0.7,0.1,0.75,0.75,"Symbolic","frequency","symbolic_natural",13
3,0.3,0.7,0.3,0.5,0.5,"Symbolic","frequency","symbolic_natural",14
3,0.3,0.7,0.5,0.375,0.6,"Symbolic","frequency","symbolic_natural",15
3,0.3,0.9,0.1,0.7941,0.74,"Symbolic","frequency","symbolic_natural",16
3,0.3,0.9,0.3,0.5625,0.56,"Symbolic","frequency","symbolic_natural",17
3,0.3,0.9,0.5,0.4355,0.43,"Symbolic","frequency","symbolic_natural",18
3,0.5,0.5,0.1,0.8333,0.83,"Symbolic","frequency","symbolic_natural",19
3,0.5,0.5,0.3,0.625,0.63,"Symbolic","frequency","symbolic_natural",20
3,0.5,0.5,0.5,0.5,0.5,"Symbolic","frequency","symbolic_natural",21
3,0.5,0.7,0.1,0.875,0.14,"Symbolic","frequency","symbolic_natural",22
3,0.5,0.7,0.3,0.7,0.7,"Symbolic","frequency","symbolic_natural",23
3,0.5,0.7,0.5,0.5833,0.58,"Symbolic","frequency","symbolic_natural",24
3,0.5,0.9,0.1,0.9,0.9,"Symbolic","frequency","symbolic_natural",25
3,0.5,0.9,0.3,0.75,0.75,"Symbolic","frequency","symbolic_natural",26
3,0.5,0.9,0.5,0.6429,0.64,"Symbolic","frequency","symbolic_natural",27
3,0.7,0.5,0.1,0.9211,0.92,"Symbolic","frequency","symbolic_natural",28
3,0.7,0.5,0.3,0.7955,0.81,"Symbolic","frequency","symbolic_natural",29
3,0.7,0.5,0.5,0.7,0.7,"Symbolic","frequency","symbolic_natural",30
3,0.7,0.7,0.1,0.9423,0.94,"Symbolic","frequency","symbolic_natural",31
3,0.7,0.7,0.3,0.8448,0.84,"Symbolic","frequency","symbolic_natural",32
3,0.7,0.7,0.5,0.7656,0.77,"Symbolic","frequency","symbolic_natural",33
3,0.7,0.9,0.1,0.9545,0.95,"Symbolic","frequency","symbolic_natural",34
3,0.7,0.9,0.3,0.875,0.87,"Symbolic","frequency","symbolic_natural",35
3,0.7,0.9,0.5,0.8077,0.81,"Symbolic","frequency","symbolic_natural",36
3,0.9,0.5,0.1,0.9783,0.98,"Symbolic","frequency","symbolic_natural",37
3,0.9,0.5,0.3,0.9375,0.88,"Symbolic","frequency","symbolic_natural",38
3,0.9,0.5,0.5,0.9,0.9,"Symbolic","frequency","symbolic_natural",39
3,0.9,0.7,0.1,0.9844,0.98,"Symbolic","frequency","symbolic_natural",40
3,0.9,0.7,0.3,0.9545,0.95,"Symbolic","frequency","symbolic_natural",41
3,0.9,0.7,0.5,0.9265,0.93,"Symbolic","frequency","symbolic_natural",42
3,0.9,0.9,0.1,0.9878,0.99,"Symbolic","frequency","symbolic_natural",43
3,0.9,0.9,0.3,0.9643,0.96,"Symbolic","frequency","symbolic_natural",44
3,0.9,0.9,0.5,0.9419,0.94,"Symbolic","frequency","symbolic_natural",45
4,0.1,0.5,0.1,0.3571,0.45,"Symbolic","frequency","symbolic_natural",1
4,0.1,0.5,0.3,0.1562,0.93,"Symbolic","frequency","symbolic_natural",2
4,0.1,0.5,0.5,0.1,0.1,"Symbolic","frequency","symbolic_natural",3
4,0.1,0.7,0.1,0.4375,0.45,"Symbolic","frequency","symbolic_natural",4
4,0.1,0.7,0.3,0.2059,0.27,"Symbolic","frequency","symbolic_natural",5
4,0.1,0.7,0.5,0.1346,0.17,"Symbolic","frequency","symbolic_natural",6
4,0.1,0.9,0.1,0.5,0.5,"Symbolic","frequency","symbolic_natural",7
4,0.1,0.9,0.3,0.25,0.3,"Symbolic","frequency","symbolic_natural",8
4,0.1,0.9,0.5,0.1667,0.2,"Symbolic","frequency","symbolic_natural",9
4,0.3,0.5,0.1,0.6818,0.2,"Symbolic","frequency","symbolic_natural",10
4,0.3,0.5,0.3,0.4167,0.42,"Symbolic","frequency","symbolic_natural",11
4,0.3,0.5,0.5,0.3,0.4,"Symbolic","frequency","symbolic_natural",12
4,0.3,0.7,0.1,0.75,0.66,"Symbolic","frequency","symbolic_natural",13
